"","fecha_lista","dia_semana","num_lista","horario_audiencia","expediente","anio","notificacion","entrega_actor","entrega_ra","entrega_dem","entrega_rd","p_actor","p_r.actor","p_demandado","p_r.demandado","se_concilio","cantidad_convenio","pago_convenio","se_desistio","cantidad_desistimiento","capturista_seguimiento","count_placebo","placebo","count_partes","partes"
"140","31-07-2017","Lunes","40","11:00",1553,2016,3,1,0,0,0,0,1,0,1,0,NA,NA,0,NA,"GAMA",1,1,2,1
"141","31-07-2017","Lunes","41","11:00",11,2017,2,0,1,0,1,0,1,0,1,1,12000,0,0,NA,"GAMA",2,1,2,1
"142","31-07-2017","Lunes","42","11:00",14,2017,1,1,1,0,1,1,1,0,1,1,8000,0,0,NA,"GAMA",3,1,3,1
"143","31-07-2017","Lunes","43","11:00",1390,2013,3,0,0,0,1,0,0,0,1,0,NA,NA,0,NA,"GAMA",1,1,1,1
"144","31-07-2017","Lunes","44","12:00",1260,2016,3,1,1,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",2,1,1,1
"145","31-07-2017","Lunes","45","12:00",1267,2016,1,0,0,0,0,0,0,0,1,0,NA,NA,0,NA,"GAMA",0,0,1,1
"146","31-07-2017","Lunes","46","12:00",1278,2016,3,0,1,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",1,1,1,1
"147","31-07-2017","Lunes","47","12:00",1299,2016,2,0,0,0,0,0,0,0,1,0,NA,NA,0,NA,"GAMA",0,0,1,1
"148","31-07-2017","Lunes","48","12:00",2069,2016,1,0,0,0,1,0,1,0,3,0,NA,NA,0,NA,"GAMA",1,1,4,1
"149","31-07-2017","Lunes","49","12:00",2157,2016,3,1,0,0,0,1,1,0,0,0,NA,NA,0,NA,"GAMA",1,1,2,1
"150","31-07-2017","Lunes","50","12:00",33,2017,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",1,1,NA,NA
"151","31-07-2017","Lunes","51","12:00",52,2017,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",1,1,NA,NA
"152","31-07-2017","Lunes","52","12:00",54,2017,1,0,1,0,1,0,1,0,1,0,NA,NA,0,NA,"GAMA",2,1,2,1
"153","07-08-2017","Lunes","1","09:00",784,2016,1,0,1,0,1,0,1,0,1,0,NA,NA,0,NA,"GAMA",2,1,2,1
"154","07-08-2017","Lunes","2","09:00",2112,2015,1,0,0,0,0,0,2,0,1,1,5000,0,0,NA,"GAMA",0,0,3,1
"155","07-08-2017","Lunes","3","09:00",1689,2007,1,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,"GAMA",1,1,1,1
"156","07-08-2017","Lunes","4","09:00",625,2008,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"157","07-08-2017","Lunes","5","09:00",568,2012,1,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,"GAMA",1,1,1,1
"158","07-08-2017","Lunes","6","09:00",1688,2013,1,1,1,0,1,0,1,0,1,0,NA,NA,NA,NA,"GAMA",3,1,2,1
"159","07-08-2017","Lunes","7","09:00",64,2014,3,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,"GAMA",1,1,0,0
"160","07-08-2017","Lunes","8","09:00",325,2014,1,0,0,0,1,0,1,0,1,0,NA,NA,NA,NA,"GAMA",1,1,2,1
"161","07-08-2017","Lunes","9","09:00",1472,2014,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",1,1,NA,NA
"162","07-08-2017","Lunes","10","09:00",1559,2014,1,1,1,0,1,0,0,0,1,0,NA,NA,0,NA,"GAMA",3,1,1,1
"163","07-08-2017","Lunes","11","09:00",1243,2015,1,0,1,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",1,1,1,1
"164","07-08-2017","Lunes","12","09:00",2085,2015,1,1,1,0,0,1,1,0,1,0,NA,NA,0,NA,"GAMA",2,1,3,1
"165","07-08-2017","Lunes","13","09:00",614,2016,1,0,0,0,0,1,1,0,1,0,NA,NA,0,NA,"GAMA",0,0,3,1
"166","07-08-2017","Lunes","14","09:00",908,2016,1,0,1,0,1,0,1,0,1,1,17000,0,0,NA,"GAMA",2,1,2,1
"167","07-08-2017","Lunes","15","09:00",914,2016,2,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,"GAMA",0,0,0,0
"168","07-08-2017","Lunes","16","09:30",1201,2012,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",1,1,NA,NA
"169","07-08-2017","Lunes","17","09:30",1348,2015,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"170","07-08-2017","Lunes","19","10:00",996,2006,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",1,1,NA,NA
"171","07-08-2017","Lunes","20","10:00",1339,2011,3,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,"GAMA",0,0,0,0
"172","07-08-2017","Lunes","21","10:00",2043,2011,1,0,0,0,0,0,1,0,1,0,NA,NA,0,NA,"GAMA",0,0,2,1
"173","07-08-2017","Lunes","22","10:00",554,2014,2,0,0,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",0,0,1,1
"174","07-08-2017","Lunes","23","10:00",1657,2014,1,1,1,0,1,0,1,0,3,0,NA,NA,0,NA,"GAMA",3,1,4,1
"175","07-08-2017","Lunes","24","10:00",1668,2014,1,0,0,0,1,0,0,0,1,0,NA,NA,0,NA,"GAMA",1,1,1,1
"176","07-08-2017","Lunes","25","10:00",1716,2014,2,0,1,0,1,0,1,0,1,0,NA,NA,0,NA,"GAMA",2,1,2,1
"177","07-08-2017","Lunes","26","10:00",1932,2015,1,0,0,0,1,0,1,0,1,1,30000,0,0,NA,"GAMA",1,1,2,1
"178","07-08-2017","Lunes","27","10:00",364,2016,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",2,1,NA,NA
"179","07-08-2017","Lunes","28","10:00",1041,2016,1,0,1,0,1,1,1,0,1,1,5000,0,0,NA,"GAMA",2,1,3,1
"180","07-08-2017","Lunes","29","10:00",2146,2016,3,0,1,0,1,0,1,0,1,0,NA,NA,0,NA,"GAMA",2,1,2,1
"181","07-08-2017","Lunes","30","10:30",2018,2014,1,0,1,0,1,0,1,0,3,0,NA,NA,0,NA,"GAMA",2,1,4,1
"182","07-08-2017","Lunes","31","10:30",1174,2017,3,0,0,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",0,0,1,1
"183","07-08-2017","Lunes","32","11:00",1421,2012,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
