"d.convenio.df.tipo_de_abogado","d.convenio.df.giro_empresa","d.convenio.df.trab_base","d.convenio.df.acci_on_principal","d.convenio.df.causa","d.convenio.df.sueldo_diario_integrado","d.convenio.df.gen","d.convenio.df.horas","d.convenio.df.reinstalacion_t","d.convenio.df.indem_const_t","d.convenio.df.sal_caidos_t","d.convenio.df.rec_hr_extra","d.convenio.df.rec_20_d_ias_t","d.convenio.df.sarimssinfo","d.convenio.df.cod_imss","d.convenio.df.antig_anos","d.convenio.df.y","d.convenio.df.id"
"0","3","0","2","0",125.42,"0",66,"0","1","1","1","0","0","1",1.11232876712329,1.15068493150685,220
"0","7","0","1","0",341.7,"0",60,"1","1","1","1","1","0","1",9.4054794520548,1.70684931506849,222
"0","7","1","2","0",666.666666666667,"1",55,"0","1","1","1","0","1","1",0.698630136986301,2.24931506849315,223
"0","7","0","1","0",200,"1",55,"1","1","1","1","1","1","1",0.778082191780822,1.06027397260274,224
"0","3","0","2","0",280,"0",63,"0","1","1","1","0","0","1",1.39452054794521,0.408219178082192,225
"0","1","0","2","0",254.66,"1",52.5,"0","1","1","1","0","1","1",0.6,0.394520547945205,226
"0","3","1","2","0",1133.33333333333,"0",54,"0","1","1","0","0","0","1",1.13972602739726,1.81917808219178,227
"0","7","0","2","0",276.857142857143,"0",60,"0","1","1","1","0","0","1",0.550684931506849,0.254794520547945,229
"0","3","0","2","0",276.142857142857,"1",60,"0","1","1","1","0","0","1",0.991780821917808,0.10958904109589,230
"0","1","0","2","0",499.805714285714,"0",60,"0","1","1","1","0","0","1",2.32054794520548,0.89041095890411,231
"0","7","0","2","0",140.83,"0",52.5,"0","1","1","1","0","0","0",20.0739726027397,0.0958904109589041,234
"0","2","0","1","0",378.83,"0",66,"1","1","1","1","1","1","0",0.241095890410959,0.695890410958904,235
"0","7","0","1","0",422.33,"1",70,"1","0","1","1","0","1","0",0.205479452054795,0.69041095890411,236
"0","7","0","1","0",461.17,"1",63,"1","1","1","1","1","1","0",1.5041095890411,0.70958904109589,237
"0","3","1","2","0",550,"0",60,"0","1","1","1","0","1","0",0.487671232876712,2.47397260273973,238
"0","7","0","2","0",200,"0",70.5,"0","1","1","0","1","1","0",3.06027397260274,0.978082191780822,240
"0","7","0","1","0",223.773333333333,"1",48,"1","1","1","1","1","0","0",0.989041095890411,0.202739726027397,241
"0","3","0","1","0",463.466666666667,"0",60,"1","1","1","1","1","0","0",1.64657534246575,0.947945205479452,242
"1","6","0","2","0",174.19,"0",47.5,"0","1","1","0","0","0","0",0.150684931506849,2.94520547945205,243
"1","1","0","2","0",119.43,"0",57,"0","1","1","0","0","0","0",0.457534246575342,0.657534246575342,244
"0","7","0","2","0",300.178,"1",60,"0","1","1","1","0","0","0",1.58356164383562,1.4958904109589,246
"0","7","0","1","0",133.333333333333,"0",45,"1","0","1","1","0","1","0",0.0876712328767123,0.334246575342466,248
"0","2","0","2","0",678.66,"0",60,"0","1","1","1","0","0","0",1.30958904109589,1.61643835616438,251
"0","2","0","2","0",2866.66666666667,"0",47.5,"0","1","1","0","0","0","0",2.75342465753425,1.41095890410959,252
"0","2","0","2","0",271.42,"0",72,"0","1","1","1","0","1","0",1.69041095890411,0.202739726027397,256
"0","3","0","1","0",530.178,"1",48,"1","0","1","1","0","1","0",0.572602739726027,0.495890410958904,258
"0","2","0","2","0",416.66,"0",60,"0","1","1","1","0","1","0",12.2767123287671,2.19452054794521,261
"0","7","0","1","0",126.666666666667,"1",77,"1","1","1","1","1","1","0",0.0767123287671233,0.334246575342466,267
"0","2","0","1","0",468.8,"0",72,"1","1","1","1","1","1","0",2.49315068493151,0.654794520547945,268
"0","4","0","2","0",144.285714285714,"0",42.5,"0","1","1","0","0","0","0",9.44931506849315,1.38904109589041,269
"0","3","0","2","0",550,"1",69,"0","1","1","1","0","1","0",2.16986301369863,0.728767123287671,271
"0","7","0","2","0",500,"1",72,"0","1","1","1","0","0","0",0.876712328767123,0.772602739726027,274
"0","5","0","2","0",223.541428571429,"0",108,"0","1","1","1","0","0","0",23.041095890411,1.91232876712329,278
"0","3","0","1","0",217.76,"0",48,"1","1","1","1","1","0","0",2.37808219178082,0.679452054794521,282
"0","2","0","1","0",335.16,"1",60,"1","0","1","1","0","1","0",0.350684931506849,1.04931506849315,283
"0","3","0","2","0",800,"0",50,"0","1","1","0","0","0","0",0.512328767123288,1.44109589041096,285
"0","1","0","1","0",193.72,"0",60,"1","1","1","1","1","1","0",32.1178082191781,2.18904109589041,286
"0","5","0","1","0",400,"0",60,"1","1","1","1","1","1","0",2.27397260273973,1.76164383561644,288
"0","1","0","1","0",345,"0",45,"1","0","1","0","0","0","0",15.5534246575342,0.783561643835616,289
"1","3","0","2","0",232.68,"0",42,"0","1","1","0","0","0","0",2.96712328767123,1.76438356164384,290
"1","3","0","2","0",243.32,"0",45,"0","1","1","0","0","0","0",4.49315068493151,1.04931506849315,291
"0","7","0","1","0",600,"0",60,"1","1","1","1","1","1","0",8.68219178082192,0.887671232876712,293
"1","1","0","2","0",317.5,"0",72,"0","1","1","0","0","0","0",16.5506849315069,0.268493150684932,296
"0","5","0","2","0",500,"0",91,"0","1","1","1","0","0","0",1.59452054794521,0.210958904109589,297
"0","2","0","1","0",279.07,"1",50,"1","0","1","1","0","1","0",1.40547945205479,0.750684931506849,301
"0","2","1","2","0",596.7,"0",60,"0","1","1","1","0","1","0",1.28767123287671,1.88493150684932,303
"0","1","0","2","0",108.857142857143,"1",48,"0","1","1","1","0","0","0",2.24383561643836,2.15616438356164,307
"0","1","0","2","0",86.6666666666667,"1",54,"0","1","1","1","0","0","0",1.58630136986301,0.405479452054795,308
"0","1","0","2","0",450,"0",50,"0","1","1","0","1","0","0",10.9643835616438,0.405479452054795,312
"0","2","0","2","0",800,"0",63,"0","1","1","1","0","1","0",11.8986301369863,1.24383561643836,313
"0","3","1","1","0",901.94,"0",50,"1","1","1","1","1","0","0",14.8,0.561643835616438,314
"0","2","0","1","0",183.91,"0",50,"1","0","1","1","0","1","0",4.72876712328767,0.424657534246575,315
"0","10","0","2","0",193,"1",50,"0","1","1","1","0","0","0",4.46301369863014,0.443835616438356,317
"1","3","0","2","0",376.27,"0",48,"0","1","1","0","0","0","0",0.30958904109589,0.252054794520548,318
"0","8","0","1","0",500,"0",47.5,"1","1","1","0","0","0","0",0.257534246575342,0.0684931506849315,319
"0","1","0","2","0",375,"0",72,"0","1","1","1","0","1","0",10.7068493150685,2.22465753424658,320
"0","1","0","2","0",375,"0",72,"0","1","1","1","0","1","0",10.7068493150685,2.22465753424658,325
"0","1","0","2","0",375,"0",72,"0","1","1","1","0","1","0",10.7068493150685,2.22465753424658,326
"0","1","0","2","0",83.61,"0",60,"0","1","1","1","0","1","0",1.24657534246575,1.08767123287671,329
"0","3","0","2","0",455.94,"0",54,"0","1","1","1","1","1","0",2.75342465753425,0.0547945205479452,331
"0","3","0","2","0",455.94,"0",54,"0","1","1","1","1","1","0",0.89041095890411,0.0547945205479452,332
"1","1","0","2","0",90.47,"0",84,"0","1","1","0","0","0","0",0.742465753424657,0.43013698630137,333
"1","1","0","2","0",90.81,"0",84,"0","1","1","0","0","0","0",3.12876712328767,0.43013698630137,334
"0","2","0","2","0",144.536666666667,"0",70,"0","1","1","1","0","0","0",1.60821917808219,0.115068493150685,336
"0","1","0","1","0",443.29,"0",72,"1","1","1","1","1","0","0",1.24109589041096,1.44657534246575,343
"0","1","0","1","0",443.29,"0",72,"1","1","1","1","1","0","0",1.30684931506849,1.44657534246575,344
"0","2","0","2","0",260,"0",52.5,"0","1","1","1","0","1","0",7.05205479452055,1.8,345
"0","1","0","1","0",555,"0",56,"1","1","1","1","1","0","0",10.8383561643836,0.191780821917808,346
"0","5","0","1","0",266.666666666667,"1",66,"1","0","1","0","0","0","0",19.9698630136986,2.46027397260274,347
"0","3","0","2","0",500,"1",60,"0","1","1","1","0","0","0",2.9013698630137,0.191780821917808,348
"0","1","0","2","0",357.14,"0",60,"0","1","1","1","0","1","0",9.49315068493151,0.717808219178082,364
"0","6","0","2","0",100,"1",63,"0","1","1","1","0","0","0",1.07671232876712,0.180821917808219,368
"0","3","0","2","0",683.33,"0",72,"0","1","1","1","0","0","0",0.421917808219178,0.438356164383562,369
"1","1","0","2","0",627.94,"0",50,"0","1","1","1","0","0","0",1.04109589041096,2.36986301369863,370
"1","1","0","2","0",148.26,"0",63,"0","1","1","0","0","0","0",1.02191780821918,0.153424657534247,371
"0","2","0","1","0",1166.66666666667,"1",70,"1","1","1","1","1","1","0",0.613698630136986,1.13972602739726,372
"0","1","0","2","0",250,"0",45,"0","1","1","0","0","1","0",3.9972602739726,0.468493150684932,373
"0","6","0","2","0",233.333333333333,"1",50,"0","1","1","1","0","0","0",0.753424657534247,2.5972602739726,374
"1","3","1","2","0",499.6,"1",46.25,"0","1","1","0","0","0","0",0.473972602739726,0.756164383561644,375
"0","2","0","1","0",534.25,"0",47.5,"1","0","1","1","0","1","0",1.60547945205479,1.54520547945205,376
"0","6","0","2","0",133.333333333333,"1",54,"0","1","1","1","0","0","0",0.794520547945205,0.441095890410959,378
"0","5","0","2","0",166.666666666667,"1",47.5,"0","1","1","1","0","1","0",4.31506849315068,2.70684931506849,379
