"lt_convenio_train.id","lt_convenio_train.antig_anos","lt_convenio_train.horas","lt_convenio_train.sueldo_diario_integrado","lt_convenio_train.tipo_de_abogado","lt_convenio_train.trab_base","lt_convenio_train.gen","lt_convenio_train.reinstalacion_t","lt_convenio_train.indem_const_t","lt_convenio_train.sal_caidos_t","lt_convenio_train.rec_hr_extra","lt_convenio_train.rec_20_d_ias_t","lt_convenio_train.sarimssinfo","lt_convenio_train.cod_imss","lt_convenio_train.y"
448,-0.362535311411405,-0.658598000000665,-0.879534266363329,"1","0","1","0","1","1","0","0","0","0",3500
585,-0.515035991604494,-0.265644694677888,-0.256110848507853,"1","0","1","0","1","1","0","0","0","0",16250
527,-0.27357658129877,1.07039654341955,-0.532796671785431,"0","0","0","0","1","1","1","0","1","0",8827
2097,0.441724228178337,-0.344235355742444,0.220059797992799,"0","0","0","0","1","1","1","0","0","0",75000
2252,-0.46178178582278,-0.0691680420165,-0.56838275819618,"0","0","0","0","1","1","1","0","0","0",18000
1263,1.16368181337816,0.559557246499943,-0.532796671785431,"0","0","0","0","1","1","1","0","1","0",20000
563,-0.442416620083975,-0.815779322129776,0.161192479338016,"0","0","0","0","1","1","0","0","0","0",35000
704,-0.741366366176776,-1.44450461064622,-0.568409434422875,"0","0","0","1","0","1","1","0","1","0",7000
2112,-0.622754726026596,-0.737188661065221,-0.44135056667595,"0","0","0","0","1","1","1","0","0","0",9500
1479,-0.516246314463169,0.127308610644889,-0.761918782866333,"0","0","1","0","1","1","0","0","0","0",8000
959,0.276515157969157,-0.855074652662054,-0.577239265458826,"0","0","1","0","1","1","0","0","0","0",3622.5
278,4.29781285591786,3.89966034174355,-0.469997023256546,"0","0","0","0","1","1","1","0","0","0",27000
2239,-0.464807592969468,-0.776483991597498,-0.212681951448858,"0","0","0","0","1","1","0","0","0","0",5000
2143,0.248072570790287,0.598852577032221,-0.139162270678226,"0","1","0","0","1","1","1","0","0","0",18000
469,-0.660274734645531,0.127308610644889,-0.82623516542729,"0","0","1","0","1","1","1","0","0","0",5000
1390,-0.367376602846106,0.205899271709444,0.12743993890875,"0","0","1","0","1","1","1","1","1","0",19000
121,0.211157723600691,-0.344235355742444,-0.637634242695659,"1","0","1","0","1","1","0","0","0","1",12500
1684,2.62938279523395,-3.72363378151833,-0.0510649212264876,"0","0","1","0","1","1","1","0","1","0",60000
651,0.214183530747379,1.54194050980689,-0.0432345594840325,"0","0","0","0","1","1","1","0","0","0",10382
1460,0.57243909691527,0.598852577032221,0.5698118061872,"0","0","0","0","1","1","1","0","1","0",10000
1113,-0.187643658332823,-0.344235355742444,1.59500587429177,"1","1","0","1","1","1","0","1","0","0",50000
597,-0.525928897332571,-0.658598000000665,1.36172227184649,"1","0","0","0","1","1","0","0","0","0",70000
