"lt.convenio.df.tipo_de_abogado","lt.convenio.df.giro_empresa","lt.convenio.df.trab_base","lt.convenio.df.acci_on_principal","lt.convenio.df.causa","lt.convenio.df.sueldo_diario_integrado","lt.convenio.df.gen","lt.convenio.df.horas","lt.convenio.df.reinstalacion_t","lt.convenio.df.indem_const_t","lt.convenio.df.sal_caidos_t","lt.convenio.df.rec_hr_extra","lt.convenio.df.rec_20_d_ias_t","lt.convenio.df.sarimssinfo","lt.convenio.df.y","lt.convenio.df.cod_imss","lt.convenio.df.antig_anos","lt.convenio.df.id"
"0","3","0","2","0",455.94,"0",54,"0","1","1","1","1","1",16420.6,"0",0.89041095890411,332
"1","1","0","2","0",90.47,"0",84,"0","1","1","0","0","0",5000,"0",0.742465753424657,333
"1","1","0","2","0",90.81,"0",84,"0","1","1","0","0","0",6000,"0",3.12876712328767,334
"0","2","0","2","0",144.536666666667,"0",70,"0","1","1","1","0","0",7000,"0",1.60821917808219,336
"0","1","0","1","0",443.29,"0",72,"1","1","1","1","1","0",4500,"0",1.24109589041096,343
"0","1","0","1","0",443.29,"0",72,"1","1","1","1","1","0",4500,"0",1.30684931506849,344
"0","2","0","2","0",260,"0",52.5,"0","1","1","1","0","1",16500,"0",7.05205479452055,345
"0","1","0","1","0",555,"0",56,"1","1","1","1","1","0",65000,"0",10.8383561643836,346
"0","5","0","1","0",266.666666666667,"1",66,"1","0","1","0","0","0",125000,"0",19.9698630136986,347
"0","3","0","2","0",500,"1",60,"0","1","1","1","0","0",12500,"0",2.9013698630137,348
"0","1","0","2","0",357.14,"0",60,"0","1","1","1","0","1",37822.38,"0",9.49315068493151,364
"0","6","0","2","0",100,"1",63,"0","1","1","1","0","0",8000,"0",1.07671232876712,368
"0","3","0","2","0",683.33,"0",72,"0","1","1","1","0","0",40000,"0",0.421917808219178,369
"1","1","0","2","0",627.94,"0",50,"0","1","1","1","0","0",75000,"0",1.04109589041096,370
"1","1","0","2","0",148.26,"0",63,"0","1","1","0","0","0",8000,"0",1.02191780821918,371
"0","2","0","1","0",1166.66666666667,"1",70,"1","1","1","1","1","1",60000,"0",0.613698630136986,372
"0","1","0","2","0",250,"0",45,"0","1","1","0","0","1",19000,"0",3.9972602739726,373
"0","6","0","2","0",233.333333333333,"1",50,"0","1","1","1","0","0",15000,"0",0.753424657534247,374
"1","3","1","2","0",499.6,"1",46.25,"0","1","1","0","0","0",20000,"0",0.473972602739726,375
"0","2","0","1","0",534.25,"0",47.5,"1","0","1","1","0","1",30000,"0",1.60547945205479,376
"0","6","0","2","0",133.333333333333,"1",54,"0","1","1","1","0","0",4000,"0",0.794520547945205,378
"0","5","0","2","0",166.666666666667,"1",47.5,"0","1","1","1","0","1",26528.28,"0",4.31506849315068,379
"0","1","0","2","0",432.84,"1",60,"0","1","1","1","0","1",25000,"0",8.64109589041096,380
"0","2","0","1","0",2058.8,"0",84,"1","1","1","1","1","1",4000,"0",1.3972602739726,383
"1","1","0","2","0",190.87,"1",48,"0","1","1","0","0","1",5000,"0",0.545205479452055,384
"0","1","0","2","0",1245.3,"1",66,"0","1","1","1","0","0",40000,"0",11.6493150684932,386
"0","1","0","2","0",666.66,"0",91,"0","1","1","1","0","1",10000,"0",2.86575342465753,388
"0","2","0","2","0",370.106,"0",48,"0","1","1","1","0","0",15000,"0",5.3013698630137,389
"0","2","0","2","0",450,"0",66,"0","1","1","1","0","1",13000,"0",0.915068493150685,390
"0","1","0","2","0",250,"0",63,"0","1","1","1","0","0",3000,"0",0.73972602739726,391
"0","2","0","2","0",242.85,"0",91,"0","1","1","1","0","1",16500,"0",0.794520547945205,393
"0","2","0","2","0",220,"1",48,"0","1","1","1","0","0",5000,"0",2.69315068493151,394
"0","1","0","2","0",500,"0",66,"0","1","1","1","0","0",7000,"0",0.767123287671233,395
"0","3","0","1","0",445.99,"0",54,"1","0","1","1","0","1",42500,"0",6.62465753424657,398
"1","3","0","2","0",139.89,"0",57,"0","1","1","0","0","0",8000,"0",2.26849315068493,399
"0","1","0","2","0",376.190476190476,"0",60,"0","1","1","1","0","1",17000,"0",4.73972602739726,401
"0","2","0","1","0",353.333333333333,"0",55,"1","0","1","1","0","0",30000,"0",8.21917808219178,402
"0","3","0","1","0",266.66,"1",66,"1","1","1","1","1","1",5500,"0",1.47123287671233,404
"0","5","0","1","0",183.333333333333,"1",72,"1","1","1","1","1","0",6500,"0",5.47397260273973,405
"0","3","0","2","0",199.66,"1",51,"0","1","1","0","0","1",18000,"0",3.40821917808219,406
"1","2","0","2","0",182.08,"0",49,"0","1","1","0","0","0",11000,"0",3.3013698630137,407
"0","1","1","1","0",623.26,"0",60,"1","1","1","1","1","1",38000,"0",0.473972602739726,408
"0","2","0","2","0",163.966666666667,"1",72,"0","1","1","1","0","0",6500,"0",5.77808219178082,409
"1","3","0","2","0",121.92,"1",36,"0","1","1","0","0","1",20000,"0",0.616438356164384,410
"0","1","0","2","0",301.76,"1",40,"0","1","1","0","0","1",12000,"0",1.58630136986301,412
"0","6","0","1","0",320,"0",97.5,"1","0","1","1","0","0",8000,"0",0.728767123287671,413
"0","5","0","2","0",113.333333333333,"0",50,"0","1","1","1","0","1",6000,"0",1.72328767123288,415
"1","1","0","2","0",66,"0",48,"0","1","1","0","0","0",4500,"0",0.156164383561644,418
"0","6","0","1","0",1036.36,"0",66,"1","1","1","1","1","1",190000,"0",5.46027397260274,419
"0","2","0","2","0",500,"1",60,"0","1","1","1","0","1",3500,"0",4.37260273972603,421
"0","1","0","2","0",209.75,"0",55.5,"0","1","1","1","0","0",6000,"0",0.336986301369863,425
"0","10","0","2","0",206.6,"1",54,"0","1","1","1","0","1",17000,"0",2.27397260273973,426
"0","2","0","2","0",126.95,"0",45,"0","1","1","0","0","1",22500,"0",4.05205479452055,427
"0","6","0","2","0",235.34,"1",66,"0","1","1","1","0","0",18000,"0",0.682191780821918,428
"0","1","0","1","0",819.96,"0",66,"1","1","1","1","1","1",10400,"0",0.49041095890411,430
"0","3","0","1","0",261.29,"1",54,"1","1","1","1","1","1",30000,"0",0.306849315068493,433
"0","4","0","1","0",264.34,"0",50,"1","1","1","1","0","0",11061.44,"0",0.665753424657534,434
"0","1","0","2","0",943.10502283105,"0",55,"0","1","1","1","0","1",140000,"0",2.67123287671233,435
"0","3","0","2","0",236.79,"0",66,"0","1","1","1","1","0",12000,"0",3.33424657534247,437
"0","3","1","2","0",1497.4,"0",63,"0","1","1","1","0","1",550000,"0",5.99178082191781,441
"0","5","0","1","0",337.5,"0",54,"1","1","1","0","1","1",8000,"0",20.0547945205479,442
