"estandarizados_duracion_desiste.id","estandarizados_duracion_desiste.antig_anos","estandarizados_duracion_desiste.horas","estandarizados_duracion_desiste.sueldo_diario_integrado","estandarizados_duracion_desiste.tipo_de_abogado","estandarizados_duracion_desiste.trab_base","estandarizados_duracion_desiste.gen","estandarizados_duracion_desiste.reinstalacion_t","estandarizados_duracion_desiste.indem_const_t","estandarizados_duracion_desiste.rec_hr_extra","estandarizados_duracion_desiste.rec_20_d_ias_t","estandarizados_duracion_desiste.sarimssinfo","estandarizados_duracion_desiste.cod_imss","estandarizados_duracion_desiste.y"
575,-0.557261449524229,0.406357980516627,-0.104050501387804,"0","0","0","1","1","1","1","0","0",0.46027397260274
583,-0.70868824001237,-0.00097235975324824,-0.159065117221513,"0","0","1","0","1","1","0","1","0",2.05479452054795
594,-0.768265993647048,-1.69818211087773,-0.219186078982739,"1","0","0","0","1","0","0","0","0",0.561643835616438
596,-0.091065527332873,-0.204637529888186,-0.249721925400149,"1","0","0","0","1","0","0","0","0",0.854794520547945
600,0.465489987871078,-0.815633040292999,-0.226873710889633,"0","0","1","0","1","0","0","0","0",0.947945205479452
605,0.219235272847742,-0.408302700023124,-0.275560342480832,"1","0","1","0","1","0","0","0","0",0.161643835616438
614,-0.594001064265614,0.406357980516627,0.798484640521866,"0","0","0","1","0","1","0","1","0",0.635616438356164
616,-0.061276650515534,0.406357980516627,-0.245903666733626,"1","0","0","0","1","0","0","0","0",0.23013698630137
617,-0.100002190378075,-0.00097235975324824,0.0999170940993569,"0","0","1","0","1","0","0","0","0",0.402739726027397
618,-0.529458497828046,-0.0688607497982275,-0.247660304254904,"0","0","0","0","1","0","0","0","0",0.238356164383562
619,-0.606909577553128,-0.408302700023124,-0.20677034899481,"0","0","0","0","1","0","1","0","0",0.249315068493151
621,-0.626768828764687,0.13480442033671,-0.14713497568515,"0","0","0","0","1","1","0","1","0",0.0438356164383562
633,0.0087272100052129,-0.00097235975324824,-0.171531961783291,"0","0","0","1","0","0","0","0","0",0.153424657534247
636,-0.755853961639823,-0.00097235975324824,-0.237352198528684,"1","0","0","0","1","0","0","0","0",0.16986301369863
638,-0.488250551564061,-0.00097235975324824,0.0390651939320891,"0","0","0","0","1","1","0","1","0",0.153424657534247
640,-0.724079159701328,-0.00097235975324824,-0.236999507969126,"0","0","0","0","1","1","0","1","0",1.68767123287671
642,-0.696772689285434,-1.42662855069781,0.229405644031099,"0","1","0","1","0","0","0","0","0",0.241095890410959
645,-0.298594702493668,0.813688320786502,-0.138619287681902,"0","0","1","1","0","1","0","0","0",0.706849315068493
647,-0.524990166305445,1.62834900132625,-0.181213062070297,"0","0","0","0","1","1","0","0","0",0.764383561643836
668,-0.368102081734126,0.1687486153592,-0.223806836458691,"0","0","0","0","1","1","0","1","0",0.402739726027397
671,-0.480306851079437,-0.340414309978144,0.95155745482755,"0","0","0","1","1","1","1","1","0",1.11780821917808
685,-0.7523785926778,-0.74774465024802,-0.26726955860252,"1","0","0","0","1","0","0","0","0",0.183561643835616
