"df.laudo.pierde.tipo_de_abogado","df.laudo.pierde.giro_empresa","df.laudo.pierde.trab_base","df.laudo.pierde.acci_on_principal","df.laudo.pierde.causa","df.laudo.pierde.sueldo_diario_integrado","df.laudo.pierde.gen","df.laudo.pierde.horas","df.laudo.pierde.reinstalacion_t","df.laudo.pierde.indem_const_t","df.laudo.pierde.sal_caidos_t","df.laudo.pierde.rec_hr_extra","df.laudo.pierde.rec_20_d_ias_t","df.laudo.pierde.sarimssinfo","df.laudo.pierde.cod_imss","df.laudo.pierde.antig_anos","df.laudo.pierde.id","df.laudo.pierde.y"
"0","1","0","2","0",850,"1",54,"0","1","1","1","0","0","0",3.15890411,2477,1
"0","1","0","1","0",554.41,"1",48,"1","1","1","0","1","0","0",30.70958904,2478,0
"0","1","0","2","0",342.85,"0",120,"0","1","1","1","0","1","0",0.936986301,2479,1
"0","7","0","2","0",415.45,"0",48,"0","1","1","1","0","0","0",1.789041096,2480,0
"0","7","0","2","0",300,"0",60,"0","1","1","1","0","0","0",4.063013699,2481,1
"1","3","0","2","0",136.4,"1",40,"0","1","1","0","0","0","0",3.090410959,2482,0
"0","7","0","2","0",361.43,"1",66,"0","1","1","0","0","0","0",0.410958904,2483,1
"1","3","0","2","0",156.78,"0",45,"0","1","1","0","0","0","0",0.38630137,2484,1
"1","5","0","2","0",147.47,"0",50,"0","1","1","0","0","0","0",19.3890411,2485,1
"0","4","0","2","0",2622.66,"0",56,"0","1","1","1","0","1","0",11.47945205,2486,1
"0","3","0","2","0",150,"1",60,"0","1","1","0","0","1","0",2.895890411,2487,1
"1","3","0","2","0",322.75,"1",47,"0","1","1","0","0","0","0",2.906849315,2488,1
"0","11","0","2","0",386,"0",46,"0","1","1","1","1","1","0",5.61369863,2489,1
"1","7","0","2","0",522.68,"0",54,"0","1","1","0","0","0","0",0.265753425,2490,1
"1","7","0","2","0",333.33,"1",54,"0","1","1","0","0","0","0",0.328767123,2491,1
"0","4","0","2","0",200,"0",72,"0","1","1","1","0","0","0",1.145205479,2492,1
"0","5","0","1","0",433.33,"0",60,"1","1","1","1","1","0","0",10.97534247,2493,0
"0","5","0","2","0",267,"0",48,"0","1","1","0","1","1","0",20.25205479,2494,1
"0","3","0","2","0",270,"0",45,"0","1","1","0","0","1","0",7.742465753,2495,1
"0","7","0","1","0",907.93,"0",58,"1","1","1","0","1","1","0",6.964383562,2496,1
"0","7","0","2","0",212.65,"1",49,"0","1","1","0","0","1","0",13.86575342,2497,0
"0","7","0","1","0",557.15,"0",66.5,"1","1","1","0","0","0","0",4.616438356,2498,0
"0","7","0","2","0",546,"0",54,"0","1","1","0","1","0","0",3.216438356,2499,0
"0","2","0","1","0",1900,"0",60,"1","1","1","1","0","0","0",0.424657534,2500,1
"0","7","0","2","0",358,"0",54,"0","1","1","0","1","0","0",12.28219178,2501,1
"0","6","0","2","0",500,"1",66,"0","1","1","0","0","1","0",2.019178082,2502,1
"0","1","0","2","0",367.9,"0",60,"0","1","1","1","0","1","0",2.589041096,2503,0
"0","7","0","2","0",188,"0",50,"0","1","1","1","1","0","0",5.082191781,2504,0
"0","6","0","2","0",588,"0",56,"0","1","1","0","1","0","0",6.778082192,2505,0
"0","1","0","1","0",1365.95,"0",60,"1","1","1","1","1","0","0",10.30410959,2506,0
"0","3","0","2","0",496.55,"0",30,"0","1","1","1","0","1","0",0.939726027,2507,0
