"estandarizados_duracion_convenio.id","estandarizados_duracion_convenio.antig_anos","estandarizados_duracion_convenio.horas","estandarizados_duracion_convenio.sueldo_diario_integrado","estandarizados_duracion_convenio.tipo_de_abogado","estandarizados_duracion_convenio.trab_base","estandarizados_duracion_convenio.gen","estandarizados_duracion_convenio.reinstalacion_t","estandarizados_duracion_convenio.indem_const_t","estandarizados_duracion_convenio.sal_caidos_t","estandarizados_duracion_convenio.rec_hr_extra","estandarizados_duracion_convenio.rec_20_d_ias_t","estandarizados_duracion_convenio.sarimssinfo","estandarizados_duracion_convenio.cod_imss","estandarizados_duracion_convenio.y"
290,-0.134117220377382,-1.28567419009315,-0.385674426856925,"1","0","0","0","1","1","0","0","0","0",1.76438356164384
291,0.207412975893384,-1.05047352752503,-0.365493304176501,"1","0","0","0","1","1","0","0","0","0",1.04931506849315
293,1.14493482526143,0.125529785315588,0.311029518911259,"0","0","0","1","1","1","1","1","1","0",0.887671232876712
296,2.90593073852829,1.06633243558808,-0.224794462030459,"1","0","0","0","1","1","0","0","0","0",0.268493150684932
297,-0.441310448979992,2.55593663185287,0.121357313268173,"0","0","0","0","1","1","1","0","0","0",0.210958904109589
301,-0.483618498428256,-0.658472423244824,-0.297685490659097,"0","0","1","1","0","1","1","0","1","0",0.750684931506849
303,-0.509984384316304,0.125529785315588,0.304770336125038,"0","1","0","0","1","1","1","0","1","0",1.88493150684932
307,-0.295991496527261,-0.815272864956907,-0.62053197109007,"0","0","1","0","1","1","1","0","0","0",2.15616438356164
308,-0.443149929390786,-0.344871539820659,-0.66262113672325,"0","0","1","0","1","1","1","0","0","0",0.405479452054795
312,1.65569721932525,-0.658472423244824,0.0265212104466299,"0","0","0","0","1","1","0","1","0","0",0.405479452054795
313,1.86478482601884,0.360730447883712,0.690373930197432,"0","0","0","0","1","1","1","0","1","0",1.24383561643836
314,2.51412141102915,-0.658472423244824,0.883725776629994,"0","1","0","1","1","1","1","1","0","0",0.561643835616438
315,0.26014474766948,-0.658472423244824,-0.478177561549058,"0","0","0","1","0","1","1","0","1","0",0.424657534246575
317,0.200668214387139,-0.658472423244824,-0.460936358056102,"0","0","1","0","1","1","1","0","0","0",0.443835616438356
318,-0.728882553200799,-0.815272864956907,-0.113324106774018,"1","0","0","0","1","1","0","0","0","0",0.252054794520548
320,1.5980601664537,1.06633243558808,-0.115732943785685,"0","0","0","0","1","1","1","0","1","0",2.22465753424658
325,1.5980601664537,1.06633243558808,-0.115732943785685,"0","0","0","0","1","1","1","0","1","0",2.22465753424658
326,1.5980601664537,1.06633243558808,-0.115732943785685,"0","0","0","0","1","1","1","0","1","0",2.22465753424658
329,-0.519181786370275,0.125529785315588,-0.668418783809074,"0","0","0","0","1","1","1","0","1","0",1.08767123287671
331,-0.181943711058028,-0.344871539820659,0.0377877394618293,"0","0","0","0","1","1","1","1","1","0",0.0547945205479452
332,-0.598892604171351,-0.344871539820659,0.0377877394618293,"0","0","0","0","1","1","1","1","1","0",0.0547945205479452
333,-0.632003251565644,2.00713508586058,-0.655407270501958,"1","0","0","0","1","1","0","0","0","0",0.43013698630137
334,-0.0979407722984323,2.00713508586058,-0.654762385002772,"1","0","0","0","1","1","0","0","0","0",0.43013698630137
336,-0.438244648295336,0.909531993876,-0.552857831317596,"0","0","0","0","1","1","1","0","0","0",0.115068493150685
343,-0.520408106644137,1.06633243558808,0.0137942054479789,"0","0","0","1","1","1","1","1","0","0",1.44657534246575
